Report file: infile8.txt.rpt
100 Jobs:
(1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) (1, 1, *) 

***********************************************************
1 processor: totalWait=4950, maxWait=99, averageWait=49.50
54 processors: totalWait=46, maxWait=1, averageWait=0.46
55 processors: totalWait=45, maxWait=1, averageWait=0.45
56 processors: totalWait=44, maxWait=1, averageWait=0.44
57 processors: totalWait=43, maxWait=1, averageWait=0.43
58 processors: totalWait=42, maxWait=1, averageWait=0.42
59 processors: totalWait=41, maxWait=1, averageWait=0.41
60 processors: totalWait=40, maxWait=1, averageWait=0.40
61 processors: totalWait=39, maxWait=1, averageWait=0.39
62 processors: totalWait=38, maxWait=1, averageWait=0.38
63 processors: totalWait=37, maxWait=1, averageWait=0.37
64 processors: totalWait=36, maxWait=1, averageWait=0.36
65 processors: totalWait=35, maxWait=1, averageWait=0.35
66 processors: totalWait=34, maxWait=1, averageWait=0.34
67 processors: totalWait=33, maxWait=1, averageWait=0.33
68 processors: totalWait=32, maxWait=1, averageWait=0.32
69 processors: totalWait=31, maxWait=1, averageWait=0.31
70 processors: totalWait=30, maxWait=1, averageWait=0.30
71 processors: totalWait=29, maxWait=1, averageWait=0.29
72 processors: totalWait=28, maxWait=1, averageWait=0.28
73 processors: totalWait=27, maxWait=1, averageWait=0.27
74 processors: totalWait=26, maxWait=1, averageWait=0.26
75 processors: totalWait=25, maxWait=1, averageWait=0.25
76 processors: totalWait=24, maxWait=1, averageWait=0.24
77 processors: totalWait=23, maxWait=1, averageWait=0.23
78 processors: totalWait=22, maxWait=1, averageWait=0.22
79 processors: totalWait=21, maxWait=1, averageWait=0.21
80 processors: totalWait=20, maxWait=1, averageWait=0.20
81 processors: totalWait=19, maxWait=1, averageWait=0.19
82 processors: totalWait=18, maxWait=1, averageWait=0.18
83 processors: totalWait=17, maxWait=1, averageWait=0.17
84 processors: totalWait=16, maxWait=1, averageWait=0.16
85 processors: totalWait=15, maxWait=1, averageWait=0.15
86 processors: totalWait=14, maxWait=1, averageWait=0.14
87 processors: totalWait=13, maxWait=1, averageWait=0.13
88 processors: totalWait=12, maxWait=1, averageWait=0.12
89 processors: totalWait=11, maxWait=1, averageWait=0.11
90 processors: totalWait=10, maxWait=1, averageWait=0.10
91 processors: totalWait=9, maxWait=1, averageWait=0.09
92 processors: totalWait=8, maxWait=1, averageWait=0.08
93 processors: totalWait=7, maxWait=1, averageWait=0.07
94 processors: totalWait=6, maxWait=1, averageWait=0.06
95 processors: totalWait=5, maxWait=1, averageWait=0.05
96 processors: totalWait=4, maxWait=1, averageWait=0.04
97 processors: totalWait=3, maxWait=1, averageWait=0.03
98 processors: totalWait=2, maxWait=1, averageWait=0.02
99 processors: totalWait=1, maxWait=1, averageWait=0.01
